Breed,Listings
Affenpinscher,34
Afghan-Hound,1
Airedale-Terrier,40
Akita,85
Alaskan-Malamute,68
Breed Not Found
American-Eskimo-Dog,52
American-Foxhound,0
American-Hairless-Terrier,4
Breed Not Found
American-Staffordshire-Terrier,314
American-Water-Spaniel,0
Breed Not Found
Breed Not Found
Breed Not Found
Australian-Kelpie,96
Australian-Shepherd,1596
Breed Not Found
Australian-Terrier,14
Breed Not Found
Breed Not Found
Basenji,90
Breed Not Found
Basset-Hound,258
Breed Not Found
Beagle,766
Bearded-Collie,22
Beauceron,0
Bedlington-Terrier,2
Breed Not Found
Breed Not Found
Breed Not Found
Breed Not Found
Breed Not Found
Breed Not Found
Bernese-Mountain-Dog,40
Bichon-Frise,322
Breed Not Found
Black-and-Tan-Coonhound,17
Black-Russian-Terrier,2
Bloodhound,24
Bluetick-Coonhound,45
Boerboel,0
Breed Not Found
Bolognese,0
Border-Collie,1761
Border-Terrier,84
Borzoi,6
Boston-Terrier,227
Bouvier-des-Flandres,20
Boxer,1379
Boykin-Spaniel,0
Breed Not Found
Breed Not Found
Breed Not Found
Briard,8
Breed Not Found
Breed Not Found
Brussels-Griffon,78
Bull-Terrier,107
Breed Not Found
Bullmastiff,43
Cairn-Terrier,202
Canaan-Dog,5
Cane-Corso,18
Cardigan-Welsh-Corgi,68
Carolina-Dog,6
Catahoula-Leopard-Dog,262
Breed Not Found
Cavalier-King-Charles-Spaniel,83
Breed Not Found
Breed Not Found
Chesapeake-Bay-Retriever,25
Chihuahua,7086
Breed Not Found
Breed Not Found
Chinook,0
Chow-Chow,146
Breed Not Found
Clumber-Spaniel,2
Cocker-Spaniel,379
Collie,150
Coton-de-Tulear,9
Breed Not Found
Curly-Coated-Retriever,1
Breed Not Found
Dachshund,2768
Dalmatian,383
Dandie-Dinmont-Terrier,7
Breed Not Found
Breed Not Found
Doberman-Pinscher,248
Dogo-Argentino,2
Dogue-de-Bordeaux,10
Breed Not Found
Breed Not Found
Dutch-Shepherd,45
English-Cocker-Spaniel,5
English-Foxhound,1
English-Setter,9
English-Springer-Spaniel,20
English-Toy-Spaniel,1
Breed Not Found
Breed Not Found
Breed Not Found
Field-Spaniel,3
Finnish-Lapphund,0
Finnish-Spitz,1
Flat-Coated-Retriever,19
French-Bulldog,45
Breed Not Found
Breed Not Found
German-Pinscher,6
German-Shepherd-Dog,2681
German-Shorthaired-Pointer,174
German-Spitz,2
German-Wirehaired-Pointer,13
Giant-Schnauzer,11
Glen-of-Imaal-Terrier,8
Golden-Retriever,370
Gordon-Setter,6
Breed Not Found
Great-Dane,192
Great-Pyrenees,169
Greater-Swiss-Mountain-Dog,4
Greyhound,38
Hamiltonstovare,0
Breed Not Found
Harrier,6
Havanese,101
Breed Not Found
Hovawart,0
Ibizan-Hound,2
Icelandic-Sheepdog,0
Breed Not Found
Irish-Setter,7
Irish-Terrier,17
Irish-Water-Spaniel,0
Irish-Wolfhound,24
Italian-Greyhound,71
Breed Not Found
Japanese-Chin,391
Breed Not Found
Jindo,10
Breed Not Found
Karelian-Bear-Dog,0
Keeshond,12
Kerry-Blue-Terrier,2
Breed Not Found
Komondor,1
Breed Not Found
Kuvasz,1
Labrador-Retriever,3423
Breed Not Found
Lakeland-Terrier,7
Lancashire-Heeler,7
Breed Not Found
Leonberger,6
Lhasa-Apso,416
Lowchen,4
Maltese,783
Breed Not Found
Breed Not Found
Mastiff,263
Breed Not Found
Miniature-Bull-Terrier,0
Miniature-Pinscher,697
Miniature-Schnauzer,5
Mountain-Cur,1
Breed Not Found
Neapolitan-Mastiff,4
Breed Not Found
Breed Not Found
Norfolk-Terrier,64
Breed Not Found
Norwegian-Buhund,0
Norwegian-Elkhound,2
Norwegian-Lundehund,1
Norwich-Terrier,28
Nova-Scotia-Duck-Tolling-Retriever,4
Old-English-Sheepdog,8
Otterhound,2
Papillon,327
Parson-Russell-Terrier,132
Pekingese,211
Pembroke-Welsh-Corgi,0
Breed Not Found
Peruvian-Inca-Orchid,2
Breed Not Found
Pharaoh-Hound,12
Plott-Hound,36
Pointer,168
Polish-Lowland-Sheepdog,0
Pomeranian,894
Breed Not Found
Breed Not Found
Breed Not Found
Breed Not Found
Portuguese-Podengo,2
Breed Not Found
Breed Not Found
Breed Not Found
Portuguese-Water-Dog,3
Breed Not Found
Pug,652
Puli,0
Pumi,0
Breed Not Found
Pyrenean-Shepherd,1
Breed Not Found
Rat-Terrier,420
Redbone-Coonhound,32
Rhodesian-Ridgeback,65
Breed Not Found
Rottweiler,386
Breed Not Found
Breed Not Found
Breed Not Found
Saint-Bernard,122
Saluki,3
Samoyed,14
Breed Not Found
Schipperke,42
Scottish-Deerhound,2
Scottish-Terrier,100
Sealyham-Terrier,5
Breed Not Found
Breed Not Found
Shiba-Inu,31
Shih-Tzu,854
Breed Not Found
Siberian-Husky,200
Silky-Terrier,86
Skye-Terrier,12
Sloughi,2
Breed Not Found
Breed Not Found
Breed Not Found
Breed Not Found
Smooth-Fox-Terrier,26
Breed Not Found
Breed Not Found
Spanish-Water-Dog,0
Spinone-Italiano,0
Breed Not Found
Staffordshire-Bull-Terrier,126
Standard-Schnauzer,4
Sussex-Spaniel,1
Breed Not Found
Swedish-Vallhund,3
Breed Not Found
Breed Not Found
Thai-Ridgeback,1
Tibetan-Mastiff,5
Tibetan-Spaniel,28
Tibetan-Terrier,36
Breed Not Found
Breed Not Found
Toy-Fox-Terrier,360
Breed Not Found
Breed Not Found
