Temperament,AKC Breed Popularity,Height,Weight,Life Expectancy,Group,Breed
"Confident, Famously Funny, Fearless",148.0,10.25,8.5,13.5,Toy Group,Affenpinscher
"Independent, Sweet, Regal",113.0,26.0,55.0,15.0,Hound Group,Afghan-Hound
"Friendly, Clever, Courageous",60.0,23.0,60.0,12.5,Terrier Group,Airedale-Terrier
"Courageous, Dignified, Profoundly Loyal",47.0,26.0,100.0,11.5,Working Group,Akita
"Affectionate, Loyal, Playful",58.0,24.0,80.0,12.0,Working Group,Alaskan-Malamute
"Sweet, Mellow, Sociable",175.0,24.5,55.0,11.5,Hound Group,American-English-Coonhound
"Playful, Perky, Smart",122.0,13.666666666666666,17.666666666666668,14.0,Non-Sporting Group,American-Eskimo-Dog
"Independent, Easy-Going, Sweet-Tempered",186.0,23.0,65.0,12.0,Hound Group,American-Foxhound
"Energetic, Alert, Curious",136.0,14.0,14.0,15.0,Terrier Group,American-Hairless-Terrier
"Confident, Smart, Good-Natured",85.0,18.0,55.0,14.0,Terrier Group,American-Staffordshire-Terrier
"Eager, Happy, Charming",166.0,16.5,35.0,12.0,Sporting Group,American-Water-Spaniel
"Loyal, Independent, Reserved",90.0,28.0,115.0,12.0,Working Group,Anatolian-Shepherd-Dog
"Alert, Curious, Pleasant",55.0,18.5,42.5,14.0,Herding Group,Australian-Cattle-Dog
"Smart, Work-Oriented, Exuberant",17.0,20.5,52.5,13.5,Herding Group,Australian-Shepherd
"Affectionate, Courageous, Spirited",140.0,10.5,17.5,13.0,Terrier Group,Australian-Terrier
"Loyal, Independent, Deeply Affectionate",191,26.25,44.0,13.5,Hound Group,Azawakh
"Independent, Smart, Poised",87.0,16.5,23.0,13.5,Hound Group,Basenji
"Charming, Patient, Low-Key",39.0,15.0,52.5,12.5,Hound Group,Basset-Hound
"Friendly, Curious, Merry",6.0,13.666666666666666,21.25,12.5,Hound Group,Beagle
"Smart, Bouncy, Charismatic",127.0,21.0,50.0,13.0,Herding Group,Bearded-Collie
"Gentle, Faithful, Obedient",124.0,25.875,90.0,11.0,Herding Group,Beauceron
"Loyal, Charming, Frollicking",141.0,16.25,20.0,13.5,Terrier Group,Bedlington-Terrier
"Confident, Smart, Hardworking",43.0,24.0,60.0,15.0,Herding Group,Belgian-Malinois
"Bright, Watchful, Serious-Minded",125.0,24.0,58.75,13.0,Herding Group,Belgian-Sheepdog
"Courageous, Alert, Intelligent",106.0,24.0,58.75,13.0,Herding Group,Belgian-Tervuren
"Independent, Sociable, Intelligent",187.0,22.75,70.5,14.0,Herding Group,Bergamasco-Sheepdog
"Loyal, Good-Natured, Observant",144.0,23.5,60.0,12.5,Herding Group,Berger-Picard
"Good-Natured, Calm, Strong",22.0,25.375,90.0,8.5,Working Group,Bernese-Mountain-Dog
"Playful, Curious, Peppy",46.0,10.5,15.0,14.5,Non-Sporting Group,Bichon-Frise
"Easy-Going, Bright, Brave",138.0,25.0,87.5,11.0,Hound Group,Black-and-Tan-Coonhound
"Intelligent, Calm, Powerful",118.0,28.0,105.0,11.0,Working Group,Black-Russian-Terrier
"Friendly, Independent, Inquisitive",49.0,25.0,95.0,11.0,Hound Group,Bloodhound
"Smart, Devoted, Tenacious",130.0,23.75,61.25,11.5,Hound Group,Bluetick-Coonhound
"Confident, Intelligent, Calm",121.0,24.5,175.0,10.0,Working Group,Boerboel
"Affectionate, Smart, Energetic",35.0,20.0,42.5,13.5,Herding Group,Border-Collie
"Affectionate, Happy, Plucky",88.0,13.5,13.5,13.5,Terrier Group,Border-Terrier
"Affectionate, Loyal, Regally Dignified",103.0,27.0,81.25,11.5,Hound Group,Borzoi
"Friendly, Bright, Amusing",21.0,16.0,18.5,12.0,Non-Sporting Group,Boston-Terrier
"Affectionate, Courageous, Strong-Willed",84.0,25.5,90.0,11.0,Herding Group,Bouvier-des-Flandres
"Bright, Fun-Loving, Active",11.0,23.25,53.333333333333336,11.0,Working Group,Boxer
"Friendly, Eager, Lovable",100.0,16.0,32.5,12.5,Sporting Group,Boykin-Spaniel
"Confident, Smart, Faithful",132.0,24.375,77.5,Herding Group,Briard
"Bright, Fun-Loving, Upbeat",26.0,19.0,35.0,13.0,Sporting Group,Brittany
"Loyal, Alert, Curious",98.0,8.5,9.0,13.5,Toy Group,Brussels-Griffon
"Playful, Charming, Mischievous",62.0,21.5,60.0,12.5,Terrier Group,Bull-Terrier
"Friendly, Courageous, Calm",5.0,14.5,45.0,9.0,Non-Sporting Group,Bulldog
"Affectionate, Loyal, Brave",51.0,25.5,115.0,8.0,Working Group,Bullmastiff
"Alert, Cheerful, Busy",69.0,9.75,13.5,14.0,Terrier Group,Cairn-Terrier
"Confident, Alert, Vigilant",179.0,21.5,45.0,13.5,Herding Group,Canaan-Dog
"Affectionate, Intelligent, Majestic",32.0,25.5,Proportionate to height,10.5,Working Group,Cane-Corso
"Affectionate, Loyal, Smart",68.0,11.5,31.75,13.5,Herding Group,Cardigan-Welsh-Corgi
"Affectionate, Gentle, Graceful",18.0,12.5,15.5,13.5,Toy Group,Cavalier-King-Charles-Spaniel
"Clever, Adventurous, Family-Oriented",185.0,11.5,19.0,13.5,Terrier Group,Cesky-Terrier
"Affectionate, Bright, Sensitive",45.0,23.5,67.5,11.5,Sporting Group,Chesapeake-Bay-Retriever
"Charming, Graceful, Sassy",33.0,6.5,6.0,15.0,Toy Group,Chihuahua
"Affectionate, Alert, Lively",79.0,12.0,10.0,15.5,Toy Group,Chinese-Crested
"Loyal, Independent, Calm",64.0,19.0,52.5,10.0,Non-Sporting Group,Chinese-Shar-Pei
"Smart, Patient, Devoted",190.0,24.0,65.0,13.5,Working Group,Chinook
